Dimension;Kernel;C;Grado;Gamma;Error
50;Lineal;1;-;-;8,333
50;Lineal;10;-;-;8,500
50;Lineal;100;-;-;9,500
50;Polinomial;1;1;-;9,500
50;Polinomial;1;2;-;32,167
50;Polinomial;1;3;-;83,667
50;Polinomial;1;4;-;87,000
50;Polinomial;1;5;-;87,500
50;Polinomial;10;1;-;8,333
50;Polinomial;10;2;-;7,833
50;Polinomial;10;3;-;50,833
50;Polinomial;10;4;-;81,000
50;Polinomial;10;5;-;86,167
50;Polinomial;100;1;-;8,667
50;Polinomial;100;2;-;6,000
50;Polinomial;100;3;-;9,000
50;Polinomial;100;4;-;59,667
50;Polinomial;100;5;-;78,167
50;Radial;1;-;0,1;3,833
50;Radial;1;-;0,01;8,833
50;Radial;1;-;0,001;18,000
50;Radial;1;-;0,0001;86,500
50;Radial;1;-;1e-05;87,667
50;Radial;10;-;0,1;4,000
50;Radial;10;-;0,01;6,500
50;Radial;10;-;0,001;9,500
50;Radial;10;-;0,0001;18,000
50;Radial;10;-;1e-05;86,500
50;Radial;100;-;0,1;4,000
50;Radial;100;-;0,01;5,667
50;Radial;100;-;0,001;7,833
50;Radial;100;-;0,0001;9,500
50;Radial;100;-;1e-05;18,000
50;Sigmoid;1;-;0,1;14,333
50;Sigmoid;1;-;0,01;10,833
50;Sigmoid;1;-;0,001;27,833
50;Sigmoid;1;-;0,0001;87,667
50;Sigmoid;1;-;1e-05;87,667
50;Sigmoid;10;-;0,1;17,333
50;Sigmoid;10;-;0,01;8,833
50;Sigmoid;10;-;0,001;10,833
50;Sigmoid;10;-;0,0001;27,833
50;Sigmoid;10;-;1e-05;87,667
50;Sigmoid;100;-;0,1;18,833
50;Sigmoid;100;-;0,01;8,333
50;Sigmoid;100;-;0,001;8,667
50;Sigmoid;100;-;0,0001;10,833
50;Sigmoid;100;-;1e-05;27,833
100;Lineal;1;-;-;9,167
100;Lineal;10;-;-;9,667
100;Lineal;100;-;-;11,500
100;Polinomial;1;1;-;10,333
100;Polinomial;1;2;-;77,833
100;Polinomial;1;3;-;87,667
100;Polinomial;1;4;-;87,667
100;Polinomial;1;5;-;87,667
100;Polinomial;10;1;-;8,833
100;Polinomial;10;2;-;13,333
100;Polinomial;10;3;-;81,000
100;Polinomial;10;4;-;87,333
100;Polinomial;10;5;-;87,667
100;Polinomial;100;1;-;9,167
100;Polinomial;100;2;-;6,333
100;Polinomial;100;3;-;44,167
100;Polinomial;100;4;-;83,500
100;Polinomial;100;5;-;86,833
100;Radial;1;-;0,1;4,000
100;Radial;1;-;0,01;8,667
100;Radial;1;-;0,001;17,167
100;Radial;1;-;0,0001;86,500
100;Radial;1;-;1e-05;87,667
100;Radial;10;-;0,1;4,000
100;Radial;10;-;0,01;7,000
100;Radial;10;-;0,001;9,167
100;Radial;10;-;0,0001;17,500
100;Radial;10;-;1e-05;86,500
100;Radial;100;-;0,1;4,000
100;Radial;100;-;0,01;6,667
100;Radial;100;-;0,001;8,333
100;Radial;100;-;0,0001;9,167
100;Radial;100;-;1e-05;17,500
100;Sigmoid;1;-;0,1;14,167
100;Sigmoid;1;-;0,01;10,333
100;Sigmoid;1;-;0,001;27,333
100;Sigmoid;1;-;0,0001;87,667
100;Sigmoid;1;-;1e-05;87,667
100;Sigmoid;10;-;0,1;17,500
100;Sigmoid;10;-;0,01;8,833
100;Sigmoid;10;-;0,001;10,333
100;Sigmoid;10;-;0,0001;27,333
100;Sigmoid;10;-;1e-05;87,667
100;Sigmoid;100;-;0,1;18,833
100;Sigmoid;100;-;0,01;8,500
100;Sigmoid;100;-;0,001;8,833
100;Sigmoid;100;-;0,0001;10,333
100;Sigmoid;100;-;1e-05;27,333
200;Lineal;1;-;-;8,667
200;Lineal;10;-;-;10,000
200;Lineal;100;-;-;10,500
200;Polinomial;1;1;-;12,833
200;Polinomial;1;2;-;87,500
200;Polinomial;1;3;-;87,667
200;Polinomial;1;4;-;87,667
200;Polinomial;1;5;-;87,667
200;Polinomial;10;1;-;8,833
200;Polinomial;10;2;-;49,667
200;Polinomial;10;3;-;87,500
200;Polinomial;10;4;-;87,667
200;Polinomial;10;5;-;87,667
200;Polinomial;100;1;-;8,500
200;Polinomial;100;2;-;8,000
200;Polinomial;100;3;-;79,500
200;Polinomial;100;4;-;87,500
200;Polinomial;100;5;-;87,667
200;Radial;1;-;0,1;4,167
200;Radial;1;-;0,01;8,667
200;Radial;1;-;0,001;17,333
200;Radial;1;-;0,0001;86,500
200;Radial;1;-;1e-05;87,667
200;Radial;10;-;0,1;3,667
200;Radial;10;-;0,01;7,333
200;Radial;10;-;0,001;9,500
200;Radial;10;-;0,0001;17,500
200;Radial;10;-;1e-05;86,500
200;Radial;100;-;0,1;3,667
200;Radial;100;-;0,01;6,500
200;Radial;100;-;0,001;8,667
200;Radial;100;-;0,0001;9,500
200;Radial;100;-;1e-05;17,500
200;Sigmoid;1;-;0,1;13,500
200;Sigmoid;1;-;0,01;10,500
200;Sigmoid;1;-;0,001;27,167
200;Sigmoid;1;-;0,0001;87,667
200;Sigmoid;1;-;1e-05;87,667
200;Sigmoid;10;-;0,1;17,500
200;Sigmoid;10;-;0,01;8,333
200;Sigmoid;10;-;0,001;10,333
200;Sigmoid;10;-;0,0001;27,167
200;Sigmoid;10;-;1e-05;87,667
200;Sigmoid;100;-;0,1;19,333
200;Sigmoid;100;-;0,01;8,833
200;Sigmoid;100;-;0,001;8,500
200;Sigmoid;100;-;0,0001;10,333
200;Sigmoid;100;-;1e-05;27,167