Kernel;C;Grado;Error
Lineal;1;-;15,283
Lineal;10;-;15,283
Lineal;100;-;15,283
Lineal;1000;-;15,283
Lineal;10000;-;15,283
Polinomial;1;1;7,933
Polinomial;1;2;1,950
Polinomial;1;3;2,117
Polinomial;1;4;2,650
Polinomial;1;5;3,783
Polinomial;10;1;8,117
Polinomial;10;2;1,950
Polinomial;10;3;2,117
Polinomial;10;4;2,650
Polinomial;10;5;3,783
Polinomial;100;1;13,75
Polinomial;100;2;1,950
Polinomial;100;3;2,117
Polinomial;100;4;2,650
Polinomial;100;5;3,784
Polinomial;1000;1;14,450
Polinomial;1000;2;1,950
Polinomial;1000;3;2,117
Polinomial;1000;4;2,650
Polinomial;1000;5;3,783
Polinomial;10000;1;14,450
Polinomial;10000;2;1,950
Polinomial;10000;3;2,117
Polinomial;10000;4;2,650
Polinomial;10000;5;3,783
Radial;1;-;88,283
Radial;10;-;88,367
Radial;100;-;88,367
Radial;1000;-;88,367
Radial;10000;-;88,367 
Sigmoid;1;-;88,367 
Sigmoid;10;-;88,383
Sigmoid;100;-;88,383 
Sigmoid;1000;-;88,383      
Sigmoid;10000;-;88,383